"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0268","Rue d'Ancin","NANTES","Ancin","PUBLIQUE","NANTES Quai de la Fosse","NANTES Rue de l'Héronnière","Centre-ville en C3","pluriel","","lundi - mercredi - vendredi","","","Centre Ville",""
"0265","Rue des Ancolies","NANTES","Ancolies","PUBLIQUE","NANTES Route de Sainte Luce","NANTES Rue du Perray","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"7536","Cours Saint André","NANTES","André","PUBLIQUE","NANTES Place Maréchal Foch","NANTES Quai Ceineray","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"5626","Avenue Michel Ange","NANTES","Ange","PRIVEE","NANTES Rue Jean Julien Lemordant","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"0286","Rue de l'Angélique des Estuaires","NANTES","Angélique","PUBLIQUE","NANTES Rue la Nouë Bras de Fer","NANTES Quai François Mitterrand","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"0288","Boulevard des Anglais","NANTES","Anglais","PUBLIQUE","","","TRI'SAC","pluriel","à partir des numeros 81 et 64B","lundi et jeudi","","","pluriel","numéros pairs jusqu'au n°158 = Breil - Barberie, numéros impairs = Hauts Pavés - St Félix, numéros 162 à 168 = Dervallières- Zola"
"0288","Boulevard des Anglais","NANTES","Anglais","PUBLIQUE","","","bacs bleus et bacs jaunes","pluriel","des numeros 53 à 79 et 30 à 64","mardi","mercredi","","pluriel","numéros pairs jusqu'au n°158 = Breil - Barberie, numéros impairs = Hauts Pavés - St Félix, numéros 162 à 168 = Dervallières- Zola"
"0288","Boulevard des Anglais","NANTES","Anglais","PUBLIQUE","","","zone_transition","pluriel","jusqu'aux numeros 51 et 28","lundi et jeudi","merc_sem_impaires","","pluriel","numéros pairs jusqu'au n°158 = Breil - Barberie, numéros impairs = Hauts Pavés - St Félix, numéros 162 à 168 = Dervallières- Zola"
"0293","Chemin de l'Angle Chaillou","NANTES","Angle","PRIVEE","NANTES Route de la Chapelle Sur Erdre","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"0294","Rue d'Angleterre","NANTES","Angleterre","PUBLIQUE","NANTES Rue d'Irlande","NANTES Boulevard de l'Europe","TRI'SAC","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"0296","Rue d'Angoumois","NANTES","Angoumois","PUBLIQUE","NANTES Rue du Limousin","NANTES Rue du Poitou","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
